time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-06T09:44:29.848Z,-6.2601,154.7226,43.34,5.5,mww,,37,3.273,1.3,us,us70004cat,2019-07-06T10:05:00.040Z,"84km W of Panguna, Papua New Guinea",earthquake,8,4.9,0.071,19,reviewed,us,us
2019-07-06T09:30:40.890Z,35.9029999,-117.7365036,-0.58,4.49,mw,41,43,0.2941,0.19,ci,ci38460983,2019-07-07T09:42:37.842Z,"16km ESE of Little Lake, CA",earthquake,0.16,0.78,,6,reviewed,ci,ci
2019-07-06T09:29:20.990Z,35.8831673,-117.7236633,2.9,4.46,mlr,42,42,0.1917,0.2,ci,ci38460975,2019-07-07T09:38:00.789Z,"18km ESE of Little Lake, CA",earthquake,0.21,0.96,0.206,25,reviewed,ci,ci
2019-07-06T09:28:28.980Z,35.898,-117.7271667,3.95,4.89,mw,67,37,0.0896,0.16,ci,ci38460967,2019-07-08T02:16:43.744Z,"17km ESE of Little Lake, CA",earthquake,0.13,0.38,,6,reviewed,ci,ci
2019-07-06T08:32:57.540Z,35.6373329,-117.4933319,2.45,4.56,mw,71,39,0.05671,0.21,ci,ci38460311,2019-07-07T08:37:03.715Z,"17km SSW of Searles Valley, CA",earthquake,0.2,0.48,,6,reviewed,ci,ci
2019-07-06T07:09:20.553Z,56.156,164.095,10,5.2,mb,,91,4.458,1.11,us,us70004c14,2019-07-06T07:30:23.040Z,"100km E of Ust'-Kamchatsk Staryy, Russia",earthquake,8.2,1.8,0.026,476,reviewed,us,us
2019-07-06T06:31:58.562Z,-27.6919,-176.2359,10,5.5,mb,,102,2.148,0.82,us,us70004byp,2019-07-07T06:33:44.437Z,"238km NE of Raoul Island, New Zealand",earthquake,6.7,1.9,0.036,260,reviewed,us,us
2019-07-06T06:30:27.577Z,-18.3906,176.2896,10,4.8,mb,,90,1.796,0.61,us,us70004bz6,2019-07-06T07:17:55.040Z,"136km WSW of Nadi, Fiji",earthquake,5.5,1.9,0.052,114,reviewed,us,us
2019-07-06T06:27:03.354Z,-18.609,176.516,10,5,mb,,120,1.695,0.8,us,us70004byv,2019-07-06T07:38:26.040Z,"130km SW of Nadi, Fiji",earthquake,11.5,1.9,0.101,31,reviewed,us,us
2019-07-06T06:13:26.209Z,-63.1181,-157.5864,10,5.2,mb,,83,18.426,0.61,us,us70004bxv,2019-07-06T07:09:07.040Z,"Pacific-Antarctic Ridge",earthquake,14.8,1.9,0.102,32,reviewed,us,us
2019-07-06T06:01:51.780Z,35.9111667,-117.7388333,5.14,4.63,mw,63,36,0.0745,0.14,ci,ci38458679,2019-07-08T04:38:09.528Z,"15km E of Little Lake, CA",earthquake,0.11,0.49,,4,reviewed,ci,ci
2019-07-06T05:29:52.949Z,56.1855,164.0237,10,5,mb,,91,4.449,1.1,us,us70004buv,2019-07-06T06:10:28.040Z,"96km E of Ust'-Kamchatsk Staryy, Russia",earthquake,9.5,1.9,0.027,451,reviewed,us,us
2019-07-06T05:23:34.344Z,56.1888,164.283,10,5.3,mb,,72,4.558,0.82,us,us70004bud,2019-07-06T05:43:20.040Z,"112km E of Ust'-Kamchatsk Staryy, Russia",earthquake,3.9,1.8,0.023,608,reviewed,us,us
2019-07-06T04:36:55.310Z,35.9,-117.7376667,1.9,4.89,mw,62,35,0.08153,0.17,ci,ci38457967,2019-07-08T02:11:40.886Z,"16km ESE of Little Lake, CA",earthquake,0.13,0.21,,4,reviewed,ci,ci
2019-07-06T04:18:55.720Z,35.9046669,-117.6823349,2.17,5.44,mw,52,37,0.1186,0.22,ci,ci38457847,2019-07-09T04:05:48.369Z,"20km E of Little Lake, CA",earthquake,0.22,0.63,,6,reviewed,ci,ci
2019-07-06T04:13:07.090Z,35.5871667,-117.6165,7.94,4.8,mlr,71,38,0.12,0.19,ci,ci38457815,2019-07-07T04:50:01.212Z,"6km SE of Ridgecrest, CA",earthquake,0.14,0.49,0.162,229,reviewed,ci,ci
2019-07-06T03:50:59.850Z,35.9001656,-117.7056656,6.64,4.86,mlr,52,37,0.1033,0.24,ci,ci38457703,2019-07-07T03:52:15.454Z,"19km ESE of Little Lake, CA",earthquake,0.23,1.06,0.38,15,reviewed,ci,ci
2019-07-06T03:47:53.400Z,35.903,-117.7458333,3.37,5.5,mw,62,34,0.07446,0.26,ci,ci38457687,2019-07-08T14:16:58.009Z,"15km ESE of Little Lake, CA",earthquake,0.17,0.71,,4,reviewed,ci,ci
2019-07-06T03:29:29.120Z,35.7043333,-117.5108333,11.13,4.51,mlr,11,102,0.1241,0.26,ci,ci38457583,2019-07-07T04:01:11.123Z,"12km SW of Searles Valley, CA",earthquake,0.51,1.74,0.191,15,reviewed,ci,ci
2019-07-06T03:27:06.250Z,35.9356667,-117.7033333,13.04,4.73,mlr,7,128,0.04467,0.17,ci,ci37219180,2019-07-08T03:46:53.662Z,"18km E of Little Lake, CA",earthquake,1.04,1.25,0.118,5,reviewed,ci,ci
2019-07-06T03:25:27.870Z,35.8598333,-117.668,11.21,4.97,ml,17,55,0.07223,0.21,ci,ci37219172,2019-07-08T01:32:55.484Z,"23km ESE of Little Lake, CA",earthquake,0.42,0.74,0.169,7,reviewed,ci,ci
2019-07-06T03:23:50.550Z,35.8001667,-117.6051667,12.43,5.37,ml,21,129,0.01674,0.23,ci,ci37219164,2019-07-07T22:55:37.866Z,"18km WNW of Searles Valley, CA",earthquake,0.44,0.63,0.127,10,reviewed,ci,ci
2019-07-06T03:22:48.320Z,35.8945,-117.7395,9.46,4.98,ml,15,83,0.08383,0.16,ci,ci37219156,2019-07-08T00:59:44.835Z,"16km ESE of Little Lake, CA",earthquake,0.36,0.66,0.116,9,reviewed,ci,ci
2019-07-06T03:22:03.550Z,35.9221667,-117.7258333,9.14,4.64,mlr,10,68,0.0664,0.09,ci,ci38457519,2019-07-07T03:39:47.183Z,"16km E of Little Lake, CA",earthquake,0.28,0.67,0.148,13,reviewed,ci,ci
2019-07-06T03:19:53.040Z,35.7695,-117.5993333,8,7.1,mw,77,43,0.04616,0.22,ci,ci38457511,2019-07-09T13:48:22.422Z,"18km W of Searles Valley, CA",earthquake,0.19,31.61,,0,reviewed,ci,ci
2019-07-06T03:16:32.480Z,35.7253333,-117.5535,0.88,4.97,mw,83,35,0.09705,0.19,ci,ci38457487,2019-07-09T09:12:52.040Z,"14km WSW of Searles Valley, CA",earthquake,0.13,0.31,,6,reviewed,ci,ci
2019-07-06T01:09:55.470Z,-30.3022,-177.5858,40.53,4.8,mb,,187,1.095,1.08,us,us70004bl8,2019-07-06T01:42:20.040Z,"118km SSE of Raoul Island, New Zealand",earthquake,13.5,7.7,0.119,22,reviewed,us,us
2019-07-06T00:10:41.280Z,-30.3105,-177.7706,10,5.2,mb,,63,1.07,0.94,us,us70004bjy,2019-07-06T22:05:05.040Z,"116km S of Raoul Island, New Zealand",earthquake,5.7,1.7,0.042,184,reviewed,us,us
2019-07-05T22:09:58.016Z,-21.8453,-174.5586,10,4.9,mb,,68,8.062,0.62,us,us70004bgv,2019-07-05T22:38:15.040Z,"69km SE of `Ohonua, Tonga",earthquake,11.8,1.9,0.037,230,reviewed,us,us
2019-07-05T19:59:12.814Z,-5.9895,130.8595,92.08,5.2,mww,,25,2.027,0.81,us,us70004be6,2019-07-06T16:49:03.036Z,"212km W of Tual, Indonesia",earthquake,7.2,5,0.069,20,reviewed,us,us
2019-07-05T18:41:00.257Z,51.5167,16.1717,11.19,4.7,mb,,29,1.948,0.76,us,us70004bcc,2019-07-06T15:41:00.614Z,"6km W of Rudna, Poland",earthquake,4.8,4,0.059,88,reviewed,us,us
2019-07-05T18:09:00.379Z,56.0225,164.1159,10,4.9,mb,,57,4.378,1.05,us,us70004bbq,2019-07-06T15:09:20.040Z,"104km ESE of Ust'-Kamchatsk Staryy, Russia",earthquake,6.1,1.8,0.037,227,reviewed,us,us
2019-07-05T17:08:27.066Z,9.3864,87.106,10,5,mb,,47,6.675,0.65,us,us70004b9y,2019-07-06T13:57:43.228Z,"Bay of Bengal",earthquake,7.3,1.7,0.039,212,reviewed,us,us
2019-07-05T16:48:19.111Z,56.2549,164.2037,10,4.6,mb,,148,4.57,1.06,us,us70004b9c,2019-07-05T17:08:07.040Z,"107km E of Ust'-Kamchatsk Staryy, Russia",earthquake,12,1.9,0.094,34,reviewed,us,us
2019-07-05T16:14:02.037Z,56.2784,163.731,10,4.7,mb,,146,4.397,1.19,us,us70004b7c,2019-07-05T16:53:39.040Z,"77km E of Ust'-Kamchatsk Staryy, Russia",earthquake,14.5,1.9,0.126,19,reviewed,us,us
2019-07-05T13:02:18.107Z,50.9452,-130.9642,10,4.6,mb,,152,15.045,1.2,us,us70004b0c,2019-07-05T13:30:37.040Z,"239km WSW of Bella Bella, Canada",earthquake,15.8,2,0.085,42,reviewed,us,us
2019-07-05T12:58:28.335Z,51.3371,-130.5696,5.11,5.6,mww,,140,1.033,1.36,us,us70004b08,2019-07-07T03:04:27.547Z,"192km WSW of Bella Bella, Canada",earthquake,7.5,6,0.042,55,reviewed,us,us
2019-07-05T12:51:38.752Z,51.3924,-130.5189,10,4.7,mwr,,142,0.995,0.72,us,us70004b04,2019-07-05T18:45:49.361Z,"186km WSW of Bella Bella, Canada",earthquake,5.9,1.9,0.098,10,reviewed,us,us
2019-07-05T11:56:38.909Z,-48.9464,127.3937,10,5.1,mb,,92,15.105,0.97,us,us70004az7,2019-07-05T12:15:56.040Z,"Western Indian-Antarctic Ridge",earthquake,11,1.9,0.085,45,reviewed,us,us
2019-07-05T11:07:53.040Z,35.7603333,-117.575,6.95,5.36,mw,79,43,0.05824,0.2,ci,ci38450263,2019-07-09T08:59:04.089Z,"16km W of Searles Valley, CA",earthquake,0.13,0.36,,6,reviewed,ci,ci
2019-07-05T09:52:32.671Z,-2.1536,100.6264,65.37,4.9,mb,,80,2.497,0.97,us,us70004aw1,2019-07-05T10:30:35.040Z,"84km W of Sungaipenuh, Indonesia",earthquake,7.5,6.9,0.064,76,reviewed,us,us
2019-07-05T09:40:55.541Z,-3.3753,100.6487,27.56,4.6,mb,,191,2.501,1.14,us,us70004avu,2019-07-05T12:38:44.040Z,"164km SSW of Sungaipenuh, Indonesia",earthquake,9.3,6.2,0.101,29,reviewed,us,us
2019-07-05T09:35:06.508Z,1.7202,126.6009,10,4.5,mb,,108,1.214,0.69,us,us70004avf,2019-07-05T13:04:31.040Z,"134km NW of Kota Ternate, Indonesia",earthquake,5.6,1.9,0.106,26,reviewed,us,us
2019-07-05T06:38:13.267Z,-20.5565,-173.8224,10,5.1,mb,,89,3.951,0.79,us,us70004as7,2019-07-05T06:57:37.040Z,"100km SSE of Pangai, Tonga",earthquake,7.3,1.9,0.061,87,reviewed,us,us
2019-07-05T04:46:32.033Z,18.7201,92.8935,10,4.7,mb,,170,3.957,0.64,us,us70004aq6,2019-07-05T05:49:08.040Z,"158km S of Akyab, Burma",earthquake,10.8,1.9,0.099,31,reviewed,us,us
2019-07-05T02:12:15.291Z,42.205,78.6871,10,4.6,mb,,66,0.363,0.87,us,us70004akb,2019-07-05T02:52:28.040Z,"35km SSE of Teploklyuchenka, Kyrgyzstan",earthquake,6.1,1.9,0.073,56,reviewed,us,us
2019-07-05T02:08:23.203Z,-14.799,-173.4526,10,5,mb,,79,1.848,1.42,us,us70004akl,2019-07-05T02:40:51.040Z,"131km NNE of Hihifo, Tonga",earthquake,8,1.7,0.041,194,reviewed,us,us
2019-07-05T01:54:53.481Z,-9.1644,-79.6318,35,4.5,mb,,172,3.923,1.03,us,us70004ajh,2019-07-06T21:24:55.040Z,"110km W of Puerto Santa, Peru",earthquake,7.7,2,0.14,15,reviewed,us,us
2019-07-04T22:39:53.412Z,54.7099,-159.7473,30.27,4.5,mb,,163,0.152,0.66,us,us70004adv,2019-07-05T05:28:45.337Z,"14km SW of Chernabura Island, Alaska",earthquake,7.8,5.6,0.062,77,reviewed,us,us
2019-07-04T22:12:08.280Z,35.7443333,-117.5663333,1.97,4.47,mw,72,44,0.1586,0.19,ci,ci38445087,2019-07-06T21:48:24.040Z,"15km W of Searles Valley, CA",earthquake,0.11,0.39,,6,reviewed,ci,ci
2019-07-04T19:22:01.624Z,-4.5866,153.204,59.68,5,mb,,63,1.109,0.97,us,us70004a5j,2019-07-04T19:40:51.040Z,"23km SE of Taron, Papua New Guinea",earthquake,6.2,6.4,0.039,209,reviewed,us,us
2019-07-04T19:21:32.040Z,35.6713333,-117.4803314,3.01,4.5,mw,68,47,0.08593,0.2,ci,ci38443871,2019-07-06T19:31:03.688Z,"13km SSW of Searles Valley, CA",earthquake,0.19,0.82,,4,reviewed,ci,ci
2019-07-04T18:56:06.420Z,35.716,-117.56,1.92,4.58,mw,82,36,0.1041,0.17,ci,ci38443719,2019-07-08T20:05:43.987Z,"15km NE of Ridgecrest, CA",earthquake,0.09,0.21,,6,reviewed,ci,ci
2019-07-04T18:39:44.440Z,35.6013333,-117.597,2.81,4.59,mw,48,39,0.1109,0.14,ci,ci38443607,2019-07-08T15:54:03.134Z,"7km ESE of Ridgecrest, CA",earthquake,0.13,0.43,,4,reviewed,ci,ci
2019-07-04T18:21:01.560Z,-4.2356,-80.2834,75.74,4.9,mb,,145,2.034,0.61,us,us70004a2l,2019-07-05T00:04:12.397Z,"39km WSW of Celica, Ecuador",earthquake,9.4,7.7,0.071,62,reviewed,us,us
2019-07-04T17:35:01.660Z,35.644,-117.5671667,4.64,4.49,mlr,41,74,0.103,0.15,ci,ci38443191,2019-07-08T22:45:40.427Z,"10km ENE of Ridgecrest, CA",earthquake,0.15,0.46,0.132,9,reviewed,ci,ci
